Stock/ Region ,2017,2018,2019,Current 3-yr GM,40% Long-term GM,"80% Long-
term GM"
4X Atlantic Cod,"3,068","3,500","1,443","2,493","5,524","11,048"
4VsW Atlantic Cod,"10, 217",NA',"10,877","5,729","10,313","20,627"
4Vn Atlantic Cod ,"1, 296",NA,331,"2,070","6,528","3,264"
4VW Haddock,"35,796",NA,"21,485","29,151","19,031","38,062"
4X Haddock,"38,456","44,628","28,081","36,391","19,812","39,623"
4VW White Hake ,"4, 150",NA,"1,306","3,047","3,029","6,059"
4X VW White Hake,"6,735","4,988","7,811","6,402","5,626","11,251"
4VWX Silver Hake,31 321,NA,25068,33 077,12 980,28959
4XWest Silver Hake,10 112,9 301,4 138,7 301,1 337,2674
WesternComoonentPollock,15 052,14 836,8990,12615,7 889,15 778
EasternComoonent Pollock,3222,NA,"2,541",5 053,7 152,14 304
Unit II redfish ,"28,808",NA,"75,080","51,918","16,804","33,607"
Unit Ill redfish ,"141,450",NA,"57,589","141,224","36,939","73,877"
4X American Plaice ,276,487,217,308,594,"1,187"
4VW American Plaice ,"5,763",NA,"5,182","4,717","7,537","15,074"
4XWitch Flounder ,984,"1,577","1,797","1,408",593,"1,186"
4VW Wrtch Flounder ,"4,803",NA,"5,542","5,560","1,386","2,772"
4X Yellowtail Flounder ,61,105,78,80,180,359
4VW Yellowtail Flounder ,7 984,NA,4 675,7 194,4 863,9 726
4XWinter Flounder,3626,4 035,3 983,3 877,1036,2 071
4VWWinter Flounder ,577,NA,310,377,245,490
3N0Ps4VWX5Zc Atlantic Halibut ,"15,437",NA,"12,183","12,933","1,318","2,636"
4X Atlantic Wolffish,82,295,335,201,419,838
4VW Atlantic Wolffish,354,NA,447,293,492,985
4X Monkfish ,"1,906","2,075","1,110","1,638",623,"1,246"
4VW Monkfish ,863,NA,"1,109",961,800,"1,599"
4X Smooth Skate ,224,504,273,313,144,288
4VW Smooth Skate ,140,NA,149,150,116,232
4X Thomv Skate,113,193,287,184,714,1 428
4VW Thornv Skate ,1 858,NA,2.485,1 762,2 633,5265
4XBarndoor Skate,"2,457","2,668","1,651","2,212",28,56
4VW Bamdoor Skate,"1,340",NA,0,116,5,11
4XWinter Skate ,840,571,401,577,302,604
4VW Winter Skate ,562,NA,22,83,644,"1,288"
4X Little Skate ,"1,013","1, 156","1,362","1,185",188,375
4VW Little Skate,136,NA,35,59,13,25
4X L Sculoin,1 013,584,1 024,902,505,1 011
4VW L Sculoin ,1 043,NA,1 234,1 118,858,1 717
4X Red Hake,"1,419","1,848","2,046","1,751",497,994
4VW Red Hake,"1, 149",NA,"1,395","1,626",381,761
4X Ocean Pout ,95,137,89,105,173,346
4VW Ocean Pout,12,NA,52,5,50,100
4X Sea Raven,"1,213","1,097",673,964,673,"1,346"
4VW Sea Raven ,"1,475",NA,959,"1,001",335,671
